,alpha,acc,f1
90,0.91,0.342912621,[0.41337386 0.32980333 0.05333333 0.13595707 0.39494027 0.4209607 ]
91,0.92,0.338252427,[0.39692982 0.33585477 0.0483871  0.14134276 0.38365651 0.42343096]
92,0.93,0.342135922,[0.39383938 0.33233533 0.03269755 0.0917782  0.39943938 0.43949045]
93,0.94,0.348349515,[0.40924092 0.31611894 0.05820106 0.12915129 0.40282686 0.44041042]
94,0.95,0.342524272,[0.41505376 0.33384853 0.04347826 0.10606061 0.38483146 0.43256185]
95,0.96,0.344854369,[0.41394336 0.32268371 0.03753351 0.12318841 0.39748954 0.43464314]
96,0.97,0.340194175,[0.40756303 0.31493506 0.05333333 0.07677543 0.3986014  0.42993631]
97,0.98,0.348737864,[0.41800643 0.32496307 0.05333333 0.10526316 0.40084686 0.44572368]
98,0.99,0.345631068,[0.41349293 0.31189711 0.05319149 0.14642857 0.39726962 0.43211921]
99,1,0.177864078,[0.         0.         0.         0.         0.30201121 0.        ]
