,alpha,beta,MSE,MAE,R2
200,0.03,0.03,2651.770184,39.70734245,0.520448654
201,0.03,0.04,2675.783902,39.83311263,0.516105966
202,0.03,0.05,2650.997985,39.75791994,0.5205883
203,0.03,0.06,2655.250639,39.78977112,0.519819242
204,0.03,0.07,2667.837037,39.83778608,0.517543093
205,0.03,0.08,2664.248378,39.83808858,0.518192073
206,0.03,0.09,2675.412564,39.82422916,0.51617312
207,0.03,0.1,2680.269313,39.95612598,0.515294816
208,0.03,0.11,2625.017016,39.4744455,0.52528675
209,0.03,0.12,2677.635964,39.90665479,0.515771036
210,0.03,0.13,2639.416003,39.64533663,0.522682809
211,0.03,0.14,2649.34318,39.71553696,0.520887558
212,0.03,0.15,2650.81307,39.68464002,0.520621741
213,0.03,0.16,2671.891592,39.78745385,0.516809859
214,0.03,0.17,2652.826823,39.66831635,0.52025757
215,0.03,0.18,2642.327429,39.60033929,0.522156301
216,0.03,0.19,2626.736581,39.4969038,0.52497578
217,0.03,0.2,2644.096803,39.59520149,0.521836324
218,0.03,0.21,2661.853774,39.79041572,0.518625118
219,0.03,0.22,2668.998488,39.81468978,0.517333054
220,0.03,0.23,2669.576552,39.85647724,0.517228516
221,0.03,0.24,2649.527532,39.77833256,0.52085422
222,0.03,0.25,2652.290229,39.70362317,0.520354608
223,0.03,0.26,2658.909724,39.76048305,0.519157526
224,0.03,0.27,2652.390288,39.69262263,0.520336513
225,0.03,0.28,2652.824127,39.73208815,0.520258057
226,0.03,0.29,2665.276435,39.7197566,0.518006157
227,0.03,0.3,2675.068399,39.86415268,0.516235359
228,0.03,0.31,2650.438731,39.67646896,0.520689437
229,0.03,0.32,2644.295443,39.59463392,0.521800401
230,0.03,0.33,2671.216805,39.76393143,0.516931889
231,0.03,0.34,2664.699831,39.79899257,0.518110431
232,0.03,0.35,2672.474866,39.87071476,0.516704379
233,0.03,0.36,2651.365491,39.75365809,0.52052184
234,0.03,0.37,2666.427036,39.80330203,0.51779808
235,0.03,0.38,2654.23413,39.7167048,0.520003069
236,0.03,0.39,2681.147945,39.93493536,0.515135922
237,0.03,0.4,2659.298063,39.8121988,0.519087298
238,0.03,0.41,2648.368716,39.62651916,0.521063782
239,0.03,0.42,2651.447774,39.66601684,0.52050696
240,0.03,0.43,2648.593348,39.6089015,0.52102316
241,0.03,0.44,2645.65767,39.66891154,0.521554053
242,0.03,0.45,2659.938578,39.70815568,0.518971466
243,0.03,0.46,2648.662394,39.59053765,0.521010673
244,0.03,0.47,2652.096761,39.71348313,0.520389595
245,0.03,0.48,2661.284495,39.75337244,0.518728067
246,0.03,0.49,2664.53155,39.76118367,0.518140864
247,0.03,0.5,2669.645776,39.81981493,0.517215997
248,0.03,0.51,2671.075459,39.90827339,0.51695745
249,0.03,0.52,2659.640669,39.64873459,0.51902534
250,0.03,0.53,2690.064518,39.95457295,0.513523431
251,0.03,0.54,2674.494003,39.8420884,0.516339234
252,0.03,0.55,2668.461417,39.90716198,0.517430179
253,0.03,0.56,2661.209717,39.69651885,0.518741591
254,0.03,0.57,2644.716606,39.69941675,0.521724237
255,0.03,0.58,2652.717104,39.66541836,0.520277411
256,0.03,0.59,2659.927441,39.78143099,0.51897348
257,0.03,0.6,2671.867336,39.85211892,0.516814246
258,0.03,0.61,2667.849667,39.78578154,0.517540809
259,0.03,0.62,2675.717221,39.86356942,0.516118025
260,0.03,0.63,2671.085241,39.90208938,0.516955681
261,0.03,0.64,2643.082462,39.60490462,0.522019759
262,0.03,0.65,2669.018107,39.75133435,0.517329506
263,0.03,0.66,2650.353577,39.68269389,0.520704836
264,0.03,0.67,2670.826322,39.87238621,0.517002505
265,0.03,0.68,2649.030526,39.68496465,0.520944099
266,0.03,0.69,2636.410806,39.59866323,0.523226275
267,0.03,0.7,2667.144821,39.83012167,0.517668275
